Rule,Support,Confidence
d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0 --> e_Num-N-A-Dem=0, 2, 0.5
d_Dem-Num-N-A=0 & m_Num-A-N-Dem=0 --> e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0, 2, 0.4
e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0 --> d_Dem-Num-N-A=0, 2, 0.6666666666666666
b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0 --> e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0, 2, 0.16666666666666666
m_Num-A-N-Dem=0 --> e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0, 2, 0.025
e_Num-N-A-Dem=0 & m_Num-A-N-Dem=0 --> d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0, 2, 0.09523809523809523
e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0 & m_Num-A-N-Dem=0 --> b_Dem-Num-A-N=0, 2, 1.0
e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 --> m_Num-A-N-Dem=0, 2, 0.4
d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 --> e_Num-N-A-Dem=0 & m_Num-A-N-Dem=0, 2, 0.03278688524590164
d_Dem-Num-N-A=0 --> e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0, 2, 0.010309278350515464
e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0 --> d_Dem-Num-N-A=0 & m_Num-A-N-Dem=0, 2, 0.2857142857142857
b_Dem-Num-A-N=0 --> e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0 & m_Num-A-N-Dem=0, 2, 0.005449591280653951
e_Num-N-A-Dem=0 --> d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0, 2, 0.008130081300813009
e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0 --> b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0, 2, 0.13333333333333333
l_N-Dem-Num-A=0 & d_Dem-Num-N-A=0 --> h_Dem-N-Num-A=0, 2, 0.5
d_Dem-Num-N-A=0 --> h_Dem-N-Num-A=0 & l_N-Dem-Num-A=0, 2, 0.010309278350515464
h_Dem-N-Num-A=0 & d_Dem-Num-N-A=0 --> l_N-Dem-Num-A=0, 2, 0.15384615384615385
